close,high,low,open,Date,volume
36876.27161792,36968.2899396,35631.10134901,35631.10134901,2021-02-03T00:00:00Z,42671379746
35402.57211731,35762.94031236,34065.58801863,34065.58801863,2021-02-02T00:00:00Z,56497216088
33501.39456382,34582.81171023,32629.60077236,33197.43129635,2021-02-01T00:00:00Z,56953282710
33057.20689728,34224.23999814,32327.84201698,34006.16076883,2021-01-31T00:00:00Z,49876764098
34162.00195264,35247.64796294,33036.59118041,34766.30641117,2021-01-30T00:00:00Z,62186937651
34558.01578732,37989.48147222,32559.72976392,33452.80302695,2021-01-29T00:00:00Z,107922881914
33485.82395564,33769.18874395,30336.46811744,30731.76859786,2021-01-28T00:00:00Z,60692952591
30516.16836648,32338.93590694,29504.3411251,32114.50250249,2021-01-27T00:00:00Z,57185990147
32290.36843983,33084.32268734,31142.85177801,32665.90999902,2021-01-26T00:00:00Z,54045088918
32561.41751527,34081.35225711,31882.31022302,32152.2437942,2021-01-25T00:00:00Z,57208396772
32376.1581602,33079.96053327,31762.87577703,32612.71007089,2021-01-24T00:00:00Z,47045320335
32077.65927908,33364.84943984,31591.90735774,32878.24570793,2021-01-23T00:00:00Z,48343670064
32897.55148769,33608.94421262,29516.70908419,31369.66856101,2021-01-22T00:00:00Z,75859824124
31036.43439868,34921.01575314,30216.23868116,34622.85055651,2021-01-21T00:00:00Z,72826556854
35131.46080107,36449.59746341,33897.95354962,36037.12681125,2021-01-20T00:00:00Z,64741337089
36041.14261918,37462.29199068,36041.14261918,37106.51954439,2021-01-19T00:00:00Z,60374125556
36649.38381242,37418.92327465,35059.54796729,35916.69994004,2021-01-18T00:00:00Z,54650771693
35858.80289015,36902.40597535,34085.74535612,36244.2033324,2021-01-17T00:00:00Z,58495829948
36222.42515771,37824.4910782,35468.18845767,36930.0551486,2021-01-16T00:00:00Z,63436039626
36846.26588867,39460.43095575,34830.122439,38973.25177609,2021-01-15T00:00:00Z,73337493320
38977.66786595,39991.32394537,36615.48086092,37257.35947678,2021-01-14T00:00:00Z,67536389381
37021.97319446,37457.57425023,32725.49779158,34236.25349952,2021-01-13T00:00:00Z,75824485690
34156.61625937,36482.4207519,32346.18658874,34828.62751036,2021-01-12T00:00:00Z,82672187538
35050.72475784,38075.24423141,31015.09517594,37785.1085382,2021-01-11T00:00:00Z,130607872558
37629.61394582,40806.41573396,35540.29387473,40128.90611705,2021-01-10T00:00:00Z,83832308064
40284.18103572,41376.9949333,39409.84917019,40978.73480978,2021-01-09T00:00:00Z,64753455610
40771.39921482,41796.9349648,37261.43111839,39547.02761717,2021-01-08T00:00:00Z,94459204319
39882.30602623,40421.19583767,36738.87431632,37141.55755696,2021-01-07T00:00:00Z,92650858822
36903.96789613,36955.51057006,34016.8718543,34412.29924551,2021-01-06T00:00:00Z,80473937700
33807.59829385,34045.69391932,30683.15703762,32238.92980099,2021-01-05T00:00:00Z,72073511027
32006.14350841,33405.66621969,29232.73337162,33405.66621969,2021-01-04T00:00:00Z,86546445745
32913.45795712,34351.18155767,32458.0769649,33055.02209955,2021-01-03T00:00:00Z,75425430028
32213.25617045,33110.10708897,29189.33994381,29599.42343247,2021-01-02T00:00:00Z,64751132169
29521.36779854,29751.5983618,28668.77204441,28957.57488386,2021-01-01T00:00:00Z,38924346469
28970.9065357,29386.69813129,28043.00280417,28755.89816238,2020-12-31T00:00:00Z,46318100710
28745.99227653,28874.4364154,27305.71478845,27349.90147845,2020-12-30T00:00:00Z,49840542640
27276.70288067,27382.82273342,26026.67377061,26993.5977186,2020-12-29T00:00:00Z,43073921648
26994.27906673,27336.11175459,26278.80005672,26696.58850007,2020-12-28T00:00:00Z,48341829499
26471.49940446,28193.73358579,26118.24336955,26547.12234606,2020-12-27T00:00:00Z,64403469756
26399.95491694,26690.55449329,24611.87083713,24690.49881746,2020-12-26T00:00:00Z,47982311218
24638.69260797,24760.70409133,23466.74608518,23704.25136217,2020-12-25T00:00:00Z,41092951446
23658.42814816,23808.97264925,22862.29679344,23342.02972571,2020-12-24T00:00:00Z,40759899941
23278.35055797,23951.65223802,22755.65825318,23590.70617474,2020-12-23T00:00:00Z,50021843833
23736.44195718,23822.1802601,22537.01252843,22916.89221958,2020-12-22T00:00:00Z,43168787610
22838.5054057,24006.36003462,21983.49712363,23464.13329688,2020-12-21T00:00:00Z,44844986221
23531.49622082,24188.39480138,23035.68607261,23750.73075135,2020-12-20T00:00:00Z,38069496281
23805.31042496,24026.891784,22841.77556953,23090.90715321,2020-12-19T00:00:00Z,38319737648
23035.02543737,23362.40179966,22447.44623816,22931.19593488,2020-12-18T00:00:00Z,40449986741
22827.67428884,23611.49308811,21272.67359413,21314.03018184,2020-12-17T00:00:00Z,65599913440
21387.23086394,21562.02637229,19486.1762307,19583.3918135,2020-12-16T00:00:00Z,43935309238
19508.48718784,19623.08090183,19106.11211812,19264.91578123,2020-12-15T00:00:00Z,26572819335
19237.12338751,19311.44392044,19014.78112551,19155.77015933,2020-12-14T00:00:00Z,23342203810
19161.77904871,19365.91260236,18712.08677279,18783.52814412,2020-12-13T00:00:00Z,24616342141
18776.20588061,18888.31523673,18105.57387987,18134.57600842,2020-12-12T00:00:00Z,22615307922
18076.97093775,18310.36225037,17645.53513879,18204.51284301,2020-12-11T00:00:00Z,27831885777
18216.95762528,18529.89342882,17895.1660847,18450.96585469,2020-12-10T00:00:00Z,25559687001
18517.31050885,18742.17867224,17806.78432757,18500.09778755,2020-12-09T00:00:00Z,32051114111
18421.49499314,19201.06186239,18275.63244042,19094.83635889,2020-12-08T00:00:00Z,28318369431
19180.26816601,19406.0280518,18915.07425741,19307.92137918,2020-12-07T00:00:00Z,23191743900
19342.10059844,19414.22267286,18897.40093909,19182.78877724,2020-12-06T00:00:00Z,22534916209
19162.30913101,19198.34870758,18624.81758835,18825.96379642,2020-12-05T00:00:00Z,24103439463
18743.21271885,19416.19160646,18616.73887727,19324.0186132,2020-12-04T00:00:00Z,28247894184
19419.97184205,19567.30903418,18941.16236901,19214.68263561,2020-12-03T00:00:00Z,26707464888
19146.89432927,19322.45062211,18424.52082239,18927.38323181,2020-12-02T00:00:00Z,31417365849
18874.7278018,19735.98480123,18277.07480927,19532.55933622,2020-12-01T00:00:00Z,41901200206
19580.51414604,19758.49828779,18263.7102507,18366.92992375,2020-11-30T00:00:00Z,38945157107
18291.96863034,18457.27965017,17704.40460108,17839.68246694,2020-11-29T00:00:00Z,24718997397
17721.48756049,17814.12380343,16931.8784581,17115.32448189,2020-11-28T00:00:00Z,25906473688
17021.82725418,17435.42803806,16414.143503,17086.4377116,2020-11-27T00:00:00Z,32793264459
17127.2336914,18738.12586074,16418.42263302,18586.9753513,2020-11-26T00:00:00Z,52217821837
18597.00410738,19308.68324257,18359.84261563,19081.37264889,2020-11-25T00:00:00Z,36292558781
19167.82171416,19212.35341442,18275.85467882,18415.60337641,2020-11-24T00:00:00Z,46221734265
18472.32733442,18767.45987624,18378.0958123,18682.59387863,2020-11-23T00:00:00Z,35850889556
18387.59890776,18719.85252147,17845.35754916,18719.85252147,2020-11-22T00:00:00Z,34558843811
18657.9402307,18890.88893688,18489.69679322,18795.71248138,2020-11-21T00:00:00Z,32995153497
18663.81816132,18732.97516293,17971.59710269,18077.50428601,2020-11-20T00:00:00Z,31654876558
17891.05897454,18133.07568506,17410.66951973,17789.91161038,2020-11-19T00:00:00Z,32786589753
17815.23270689,18369.6771319,17300.27216939,17601.22263035,2020-11-18T00:00:00Z,43646623348
17628.39915881,17782.58626469,16710.50963588,16789.15832368,2020-11-17T00:00:00Z,34849228666
16709.6677458,16796.44098649,15972.85774884,16034.61980575,2020-11-16T00:00:00Z,27047228040
16003.51742308,16123.39359548,15805.41020286,16015.76451211,2020-11-15T00:00:00Z,20230596184
16054.55073341,16274.18062252,15752.99203081,16227.70746809,2020-11-14T00:00:00Z,23387785175
16262.45535979,16447.01145535,16035.63828812,16301.87583092,2020-11-13T00:00:00Z,26680213645
16251.52910479,16251.52910479,15535.68445274,15703.68157238,2020-11-12T00:00:00Z,30291802640
15707.41982232,15860.67729582,15322.09692537,15352.96759215,2020-11-11T00:00:00Z,24535160227
15314.90680586,15471.6289056,15115.56270965,15310.43687393,2020-11-10T00:00:00Z,23724719544
15266.44412973,15743.92931248,14888.76919389,15399.26789667,2020-11-09T00:00:00Z,29274046766
15420.06876184,15585.12550347,14760.90363784,15027.79563781,2020-11-08T00:00:00Z,24943863675
14939.47249613,15590.16718841,14596.57735098,15474.14554174,2020-11-07T00:00:00Z,30233973889
15542.97783834,15915.98100053,15238.4338914,15615.5226472,2020-11-06T00:00:00Z,37102079203
15473.39498958,15534.09225717,14212.03662368,14212.03662368,2020-11-05T00:00:00Z,36862934346
14193.75321867,14273.91886239,13680.81814268,14027.89768589,2020-11-04T00:00:00Z,25100946156
13947.03845472,13965.68893073,13356.3068114,13556.12480602,2020-11-03T00:00:00Z,22430587053
13559.93954309,13757.83925522,13262.10281963,13728.70141015,2020-11-02T00:00:00Z,21996539685
13761.47433323,13883.35802605,13648.34230862,13836.36493797,2020-11-01T00:00:00Z,18915575977
13804.04964752,14037.05114484,13466.70241815,13581.12593772,2020-10-31T00:00:00Z,22028568437
13582.39037287,13651.5836779,13188.82581948,13448.79083095,2020-10-30T00:00:00Z,25976090038
13468.03416007,13583.13655328,13031.91336438,13278.97919579,2020-10-29T00:00:00Z,22305740738
13287.41858407,13794.2055554,12967.31359722,13598.28205075,2020-10-28T00:00:00Z,26292480378
13616.41223041,13801.00352487,13052.43905948,13117.62509122,2020-10-27T00:00:00Z,24367451357